SpeciesID,種名,産地,写真,備考
SP-0030,ハレヤカオトメフデ,佐多岬 沖 (サンドポンプ),images/SP-00030_ハレヤカオトメフデ/Hareyakaotomefude_whole.jpg,
SP-0019,ムシエビ,佐多岬 沖 (サンドポンプ),images/SP-00019_ムシエビ/Mushiebi_whole.jpg,
SP-0046,ムラサキアンボイナ,佐多岬 沖 (サンドポンプ),images/SP-00046_ムラサキアンボイナ/Murasakianboina_whole.jpg,
SP-0043,アヤマクラ,佐多岬 沖 (サンドポンプ),images/SP-00043_アヤマクラ近似種/Ayamakura cf._whole.jpg,
SP-0081,イチジクガイ,東串良町,images/SP-00081_イチジクガイ/Ichijikugai_whole.jpg,
SP-0082,トリガイ,東串良町,images/SP-00082_トリガイ/Torigai_whole.jpg,
SP-0083,アリソガイ,東串良町,images/SP-00083_アリソガイ/Arisogai_whole.jpg,
SP-0084,クイチガイサルボオ,東串良町,images/SP-00084_クイチガイサルボオ/Kuichigaisarubo_whole.jpg,
SP-0085,マクラガイ,東串良町,images/SP-00085_マクラガイ/Makuragai_whole.jpg,
SP-0086,カイシアオリ,知覧町,images/SP-00086_カイシアオリ/Kaishiaori_whole.jpg,
SP-0087,カバフダカラ,志布志町,images/SP-00087_カバフダカラ/Kabafudakara_whole.jpg,
SP-0088,ナガザル,指宿市,images/SP-00088_ナガザル/Nagazaru_whole.jpg,
SP-0076,アケガイ,指宿市,images/SP-00088_アケガイ/Nagazaru_whole.jpg,
SP-0076,アケガイ,いちき串木野市,images/SP-00088_アケガイ/Nagazaru_whole2.jpg,
SP-0089,ムシロオオメフデ,頴娃町,images/SP-00089_ムシロオトメフデ/Mushirootomefude_whole.jpg,
