reference_id,type,author,author_roman,year,title,journal,volume,issue,pages,DOI,URL,language,importance,locality,have,read,notes
REF00001,,,,,,,,,,,,,1,,y,n,
REF00002,personal book,坂下 泰典,"Sakashita, Y.",,鹿児島湾産貝類仮目録,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,1,鹿児島湾,y,n,著者個人製本
REF00003,catalog,"Duclos, P.L.","Duclos, P.L.",1835-1840,Histoire naturelle générale et particulière de tous les genres de coquilles univalves marines a l'état vivant et fossile publiée par monographie. Genre Olive.,#N/A,#N/A,#N/A,,#N/A,,French,,,y,n,
REF00004,journal,植之原 道義,,1952,鹿児島縣における貝類分布の概略,鹿児島貝類同好会報 季刊,1,1,1–5,,,Japanese,1,,y,n,
REF00005,personal book,黒田 徳米,"Kuroda, T.",,奄美大島貝類目録,#N/A,#N/A,#N/A,,#N/A,,Japanese,1,奄美大島,y,n,
REF00006,personal book,細山田 良康,,,種子島貝類目録,#N/A,#N/A,#N/A,,#N/A,,Japanese,1,種子島,n,n,
REF00007,catalog,椨木 忠志,"Tabunoki, T.",,鹿児島県貝類献上目録,#N/A,#N/A,#N/A,,#N/A,,Japanese,1,,n,n,
REF00008,journal,平田 国雄,"Hirata, K.",1952,磯海岸で採集したニオガイ科の貝類について,鹿児島貝類同好会報 季刊,1,1,6–8,#N/A,,Japanese,1,鹿児島湾,y,n,
REF00009,journal,椨木 忠志,"Tabunoki, T.",1952,鹿児島縣貝類調査の回顧,鹿児島貝類同好会報 季刊,1,2,1–5,#N/A,,Japanese,2,,y,n,
REF00010,journal,平山 繁,,1952,眞珠養殖,鹿児島貝類同好会報 季刊,1,2,6–10,#N/A,,Japanese,2,,y,n,
REF00011,journal,濱田 実,,1952,榕城中学校標本目録 (種子島 西之表町),鹿児島貝類同好会報 季刊,1,2,11–16,#N/A,,Japanese,1,,y,n,
REF00012,journal,黒田 徳米,"Kuroda, T.",1952,Pholads callum Nov. 12. 1949 京都貝類談話会 (第28回) 席上談話,鹿児島貝類同好会報 季刊,1,3,11–3,#N/A,,Japanese,5,県外,y,n,
REF00013,journal,肥後 俊一,,1952,鹿児島縣の深海産貝類に就いて (1),鹿児島貝類同好会報 季刊,1,3,4–8,#N/A,,Japanese,1,,y,n,
REF00014,journal,浜田 実,,1952,すゞめ貝の底盤について,鹿児島貝類同好会報 季刊,1,3,8,#N/A,,Japanese,2,,y,n,
REF00015,journal,植之原 道義,,1952,Capulus dilatatus A Adams (カツラガイ) のAmusium Japonicum Linné (ツキヒガイ) に考生する状態について,鹿児島貝類同好会報 季刊,1,3,9–12,#N/A,,Japanese,2,,y,n,
REF00016,personal book,細山田 良康,,1937,吹上浜産貝類目錄 (謄写版),#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,1,,n,n,
REF00017,personal book,植之原 道義,,,串木野産貝類目錄 (謄写版),#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,1,,n,n,
REF00018,catalog,吉良 哲明,"Kira, T.",,日本列島現棲海産貝類目録,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00019,catalog,平瀨 信太郎,,,日本貝類譜,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00020,catalog,波部 忠重,"Habe, T.",,日本貝類錄,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00021,catalog,武藏 石壽,,,用介群品？,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00022,catalog,武藏 石壽,,,目八譜,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00023,catalog,未詳,,,目八譜,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00024,catalog,未詳,,,丹敷能浦裹,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00025,catalog,畔田 正衡,,,介志,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00026,catalog,丹羽 康賴,,,本草和名鈔,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00027,catalog,會永年,,,渚ノ丹敷,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00028,catalog,未詳,,,五百介図,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00029,catalog,荒木 田久老,,,宇治久老貝図,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00030,catalog,堀田 正衡,,,觀文介図,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00031,catalog,松岡 玄達,,,怡顏齋介品,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00032,catalog,未詳,,,百介說,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00033,catalog,未詳,,,淨貞五百貝図,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00034,catalog,大江 流芳,,,目蓋浦錦,#N/A,#N/A,#N/A,#N/A,#N/A,,Japanese,,,n,n,
REF00035,journal,植之原 道義・肥後俊一,,1952,串木野產貝類目錄,鹿児島貝類同好会報 季刊,1,4,1–31,#N/A,,Japanese,1,,y,n,
REF00036,journal,平山 繁,,1953,養殖余談,鹿児島貝類同好会報 季刊,2,"1,2",1–4,#N/A,,Japanese,2,,y,n,
REF00037,journal,畠中 一,,1953,"1,000 種になるまで",鹿児島貝類同好会報 季刊,2,"1,2",4–5,#N/A,,Japanese,2,,y,n,
REF00038,journal,桑原 一廣,,1953,イタヤ、シナイタヤ及びハナイタヤとクロチョウガイの貝殻の成分について,鹿児島貝類同好会報 季刊,2,"1,2",5–8,#N/A,,Japanese,4,,y,n,
REF00039,journal,平田 国雄,"Hirata, K.",1953,揖宿産シナイタヤのこと,鹿児島貝類同好会報 季刊,2,"1,2",8–16,#N/A,,Japanese,2,,y,n,
REF00040,journal,植之原 道義,,1953,Capulus dilatatus A. Adams カツラガイがツキヒガイに附着しているところ 及び Capulus japonicus A. Adams シワカツラガイ？,鹿児島貝類同好会報 季刊,2,3,1,#N/A,,Japanese,1,,y,n,
REF00041,journal,植之原 道義,,1953,貝類雜錄,鹿児島貝類同好会報 季刊,2,3,1–3,#N/A,,Japanese,2,,y,n,
REF00042,journal,平田 国雄,"Hirata, K.",1953,Jouannetia globulosa (Quoy et Grimard)トケスズガイにおける石灰膜 (Calium) 形成と性成熟との関係,鹿児島貝類同好会報 季刊,2,3,3–9,#N/A,,Japanese,2,,y,n,
REF00043,journal,平田 国雄,"Hirata, K.",1953,宇治群島の貝類相について,鹿児島貝類同好会報 季刊,2,3,10–15,#N/A,,Japanese,1,,y,n,
REF00044,journal,"平田 国雄, 川畑 隆",,1953,ヒメモノアラガイ Lymnaea (Gaiba) pervia Martensの生態学的研究 (1) 産卵活動,鹿児島貝類同好会報 季刊,2,3,15–21,#N/A,,Japanese,1,,y,n,
REF00045,journal,中山 保隆,,1953,燃島案内記,鹿児島貝類同好会報 季刊,2,4,2–6,#N/A,,Japanese,1,,y,n,
REF00046,journal,肥後 俊一,,1953,神瀬採集記,鹿児島貝類同好会報 季刊,2,4,6–11,#N/A,,Japanese,2,,y,n,
REF00047,journal,植之原 道義,,1953,貝類雜記,鹿児島貝類同好会報 季刊,2,4,11–12,#N/A,,Japanese,2,,y,n,
REF00048,journal,植之原 道義,,1954,たからがい,鹿児島貝類同好会報 季刊,3,"1,2",1,#N/A,,Japanese,2,,y,n,
REF00049,journal,金丸 但馬,,1954,本蛤の碁石,鹿児島貝類同好会報 季刊,3,"1,2",2–3,#N/A,,Japanese,5,県外,y,n,
REF00050,journal,平山 繁,,1954,眞珠養殖才言 (その1),鹿児島貝類同好会報 季刊,3,"1,2",2–7,#N/A,,Japanese,2,,y,n,
REF00051,journal,植之原 道義,,1954,フジノハナガイの消息,鹿児島貝類同好会報 季刊,3,"1,2",7,#N/A,,Japanese,2,,y,n,
REF00052,journal,畠中 一,,1954,宝貝むだばなし 二つ,鹿児島貝類同好会報 季刊,3,"1,2",8–9,#N/A,,Japanese,5,県外,y,n,
REF00053,journal,平田 国雄,"Hirata, K.",1954,クルスガイ属 Crepidula の雄性先熟に関する Coe の研究,鹿児島貝類同好会報 季刊,3,"1,2",9–14,#N/A,,Japanese,5,県外,y,n,
REF00054,journal,平田 国雄,"Hirata, K.",1954,サザエの2型、 有棘型と無棘型とに関する 猪野峻氏の研究,鹿児島貝類同好会報 季刊,3,"1,2",15–18,#N/A,,Japanese,5,県外,y,n,
REF00055,journal,平山 繁,,1954,眞珠養殖才言 (その2),鹿児島貝類同好会報 季刊,3,"1,2",18–23,#N/A,,Japanese,2,,y,n,
REF00056,journal,植之原 道義,,1954,フデガイ類,鹿児島貝類同好会報 季刊,3,3,1,#N/A,,Japanese,4,,y,n,
REF00057,journal,肥後 俊一,,1954,採集籠,鹿児島貝類同好会報 季刊,3,3,2–4,#N/A,,Japanese,2,,y,n,
REF00058,journal,肥後 俊一,,1954,貝人探訪 (1),鹿児島貝類同好会報 季刊,3,3,4–6,#N/A,,Japanese,3,,y,n,
REF00059,journal,畠中 一,,1954,採集雜談,鹿児島貝類同好会報 季刊,3,3,6–7,#N/A,,Japanese,3,,y,n,
REF00060,journal,平田 国雄,"Hirata, K.",1954,mabellarca hiratai Habe の標徴について,鹿児島貝類同好会報 季刊,3,3,8–14,#N/A,,Japanese,4,,y,n,
REF00061,journal,平田 国雄,"Hirata, K.",1954,奄美大島群島採集行 (その1),鹿児島貝類同好会報 季刊,3,3,15–21,#N/A,,Japanese,1,,y,n,
REF00062,journal,平田 国雄,"Hirata, K.",1954,幼貝と正貝その1 れいし類,鹿児島貝類同好会報 季刊,3,3,22,#N/A,,Japanese,5,県外,y,n,
REF00063,journal,植之原 道義,,1954,タケノコガイ類,鹿児島貝類同好会報 季刊,3,4,1,#N/A,,Japanese,2,,y,n,
REF00064,journal,和田 清治,,1954,二枚貝の受精の話 その1 卵・精子の成熟,鹿児島貝類同好会報 季刊,3,4,2–10,#N/A,,Japanese,5,,y,n,
REF00065,journal,和田 清治,,1954,黒蝶貝に就て,鹿児島貝類同好会報 季刊,3,4,11–14,#N/A,,Japanese,3,,y,n,
REF00066,journal,平山 繁,,1954,眞珠考,鹿児島貝類同好会報 季刊,3,4,15–19,#N/A,,Japanese,5,県外,y,n,
REF00067,journal,荒川 好満,"Arakawa, Y.",1954,種子ヶ島及び馬毛島に於ける貝類方言,鹿児島貝類同好会報 季刊,3,4,19–22,#N/A,,Japanese,2,,y,n,
REF00068,journal,畠中 一,,1954,採集雑談,鹿児島貝類同好会報 季刊,3,4,22–23,#N/A,,Japanese,3,,y,n,
REF00069,journal,和田 清治,,1955,二枚貝の受精の話 その2 過アルカリ海水の成熟、受精に対する作用,鹿児島貝類同好会報 季刊,4,"1,2",1–7,#N/A,,Japanese,4,,y,n,
REF00070,journal,山口 志摩雄,,1955,巻貝の成長とその極限の問題 (その1),鹿児島貝類同好会報 季刊,4,"1,2",8–21,#N/A,,Japanese,2,,y,n,
REF00071,journal,平山 繁,,1955,黒蝶貝について (その2),鹿児島貝類同好会報 季刊,4,"1,2",22–35,#N/A,,Japanese,2,,y,n,
REF00072,journal,平田 国雄,"Hirata, K.",1955,"奄美大島群島採集行 その2 輿論島の現生珊瑚礁及び隆起珊瑚礁の
生態学的考察 (予報)",鹿児島貝類同好会報 季刊,4,"1,2",36–60,#N/A,,Japanese,1,,y,n,
REF00073,journal,和田 清治,,1955,二枚貝の受精の話 その3 精子と受精の時に起る光体部の変化―光体反応,鹿児島貝類同好会報 季刊,4,3,1–7,#N/A,,Japanese,5,県外,y,n,
REF00074,journal,山口 志摩雄,,1955,巻貝の成長とその極限の問題 (その2),鹿児島貝類同好会報 季刊,4,3,7–25,#N/A,,Japanese,2,,y,n,
REF00075,journal,荒川 好満,"Arakawa, Y.",1955,種子・馬毛島採集記,鹿児島貝類同好会報 季刊,4,3,25–36,#N/A,,Japanese,1,,y,n,
REF00076,journal,松永 順夫,,1955,八丈島貝類採集遊行記,鹿児島貝類同好会報 季刊,4,3,36–39,#N/A,,Japanese,5,県外,y,n,
REF00077,journal,永沢 譲次,,1955,第四紀のキサゴの進化に就いて,鹿児島貝類同好会報 季刊,4,3,39–40,#N/A,,Japanese,5,県外,y,n,
REF00078,journal,植之原 道義,,1955,つれた貝,鹿児島貝類同好会報 季刊,4,3,40,#N/A,,Japanese,4,,y,n,
REF00079,journal,不明,,1955,串木野採集会記,鹿児島貝類同好会報 季刊,4,3,40–42,#N/A,,Japanese,2,,y,n,
REF00080,journal,和田 清治,,1955,二枚貝の受精の話 その4 精子が卵に着するまでに起る諸現象,鹿児島貝類同好会報 季刊,4,4,1–10,#N/A,,Japanese,5,県外,y,n,
REF00081,journal,山口 志摩雄,,1955,巻貝の成長とその極限の問題 (その3),鹿児島貝類同好会報 季刊,4,4,10–21,#N/A,,Japanese,2,,y,n,
REF00082,journal,白井 祥平,,1955,奄美だより (1),鹿児島貝類同好会報 季刊,4,4,21–26,#N/A,,Japanese,2,,y,n,
REF00083,journal,金丸 但馬,,1956,絵のある“渚の錦”の発見,鹿児島貝類同好会報 季刊,5,1,1–3,#N/A,,Japanese,2,,y,n,
REF00084,journal,岩川 友太郎,"Iwakawa, Y.",,帝室博物館日本産貝類標本目録,,,,,,,,,,n,n,
REF00085,journal,和田 清治,,1956,二枚貝の受精の話 その4 精子が卵に着するまでに起る諸現象,鹿児島貝類同好会報 季刊,5,1,3–9,#N/A,,Japanese,5,県外,y,n,
REF00086,journal,山口 志摩雄,,1956,巻貝の成長とその極限の問題 (その4),鹿児島貝類同好会報 季刊,5,1,9–17,#N/A,,Japanese,2,,y,n,
REF00087,journal,堀川安市,,1956,長崎の貝短信 (1),鹿児島貝類同好会報 季刊,5,1,17–19,#N/A,,Japanese,3,,y,n,
REF00088,journal,白井 祥平,,1956,奄美だより (2),鹿児島貝類同好会報 季刊,5,1,19–24,#N/A,,Japanese,1,,y,n,
REF00089,journal,和田 清治,,1956,二枚貝の受精の話 その5 精子の体に卵膜を溶かす物質のあること,鹿児島貝類同好会報 季刊,5,2,1–4,#N/A,,Japanese,5,県外,y,n,
REF00090,journal,丹治 経治,,1956,採集余錄,鹿児島貝類同好会報 季刊,5,2,5–7,#N/A,,Japanese,5,県外,y,n,
REF00091,journal,金丸 但馬,,1956,ウラシマの貝殻成長過程について,鹿児島貝類同好会報 季刊,5,2,7–10,#N/A,,Japanese,5,県外,y,n,
REF00092,journal,堀川 安市,,1956,長崎の貝類短信 (二) 穿孔 (岩石) 貝類について,鹿児島貝類同好会報 季刊,5,2,10–13,#N/A,,Japanese,5,県外,y,n,
REF00093,journal,荒川 好満,"Arakawa, Y.",1956,「ホトトギス」を食う「ガザミ」,鹿児島貝類同好会報 季刊,5,2,13–14,#N/A,,Japanese,5,県外,y,n,
REF00094,journal,白井 祥平,,1956,奄美だより (3),鹿児島貝類同好会報 季刊,5,2,14–17,#N/A,,Japanese,2,,y,n,
REF00095,journal,荒川 好満,"Arakawa, Y.",1956,与論島の貝類方言について,鹿児島貝類同好会報 季刊,5,2,17–24,#N/A,,Japanese,2,,y,n,
REF00096,journal,畠中 一,,1956,写真に寄せて,鹿児島貝類同好会報 季刊,5,3,1,#N/A,,Japanese,2,,y,n,
