SpeciesID,和名,学名,命名者,学名ソース,目,科,産地_公開,産地_非公開,水深,生息環境,記録分類,同定のポイント,文献,表示順,備考
SP-0001,オトメガサ,Scutus sinensis,"(Blainville, 1825)",近海産図鑑II版,スカシガイ,スカシガイ,佐多岬 沖 (サンドポンプ),吹上工業・谷山_サンドポンプ,,,標本,,,1,
SP-0002,ヒラスカシ,Macroschisma dilatatum,"A. Adams, 1851",近海産図鑑II版,スカシガイ,スカシガイ,佐多岬 沖 (サンドポンプ),吹上工業・加治木_サンドポンプ,,,標本,,,2,
SP-0003,コマキアゲエビス,Clanculus bronni,"(Dunker, 1860)",近海産図鑑II版,ニシキウズ (–ガイ),ニシキウズ (–ガイ),佐多岬 沖 (サンドポンプ),吹上工業・加治木_サンドポンプ,,,標本,,,3,
SP-0004,イワカワチグサ,Iwakawatrochus urbanus,"(A. Gould, 1861)",近海産図鑑II版,ニシキウズ (–ガイ),ニシキウズ (–ガイ),佐多岬 沖 (サンドポンプ),吹上工業・谷山_サンドポンプ,,,標本,,,4,
SP-0005,シロナツモモ,Clanculus gemmulifer,Pilsbry 1903,MolluscaBase,ニシキウズ (–ガイ),ニシキウズ (–ガイ),佐多岬 沖 (サンドポンプ),吹上工業・加治木_サンドポンプ,,,標本,,,5,
SP-0006,カニモリ,Rhinoclavis kochi,"(R. A. Philippi, 1848)",近海産図鑑II版,オニノツノガイ,オニノツノガイ,佐多岬 沖 (サンドポンプ),吹上工業・谷山_サンドポンプ,,,標本,,,6,
SP-0007,トガリキリオレ,Euthymella pyramidalis,"(A. Adams & Reeve, 1850)",近海産図鑑II版,エゾタマキビ,ミツクチキリオレ,佐多岬 沖 (サンドポンプ),吹上工業・谷山_サンドポンプ,,,標本,,,7,
SP-0008,アラレキリオレ,Inella japonica,"Kuroda & Habe, 1963",近海産図鑑II版,エゾタマキビ,ミツクチキリオレ,佐多岬 沖 (サンドポンプ),吹上工業・谷山_サンドポンプ,,,標本,,,8,
SP-0009,フロガイ,Glyphepithema alapapilionis,"(Röding, 1798)",MolluscaBase,エゾタマキビ,タマガイ,佐多岬 沖 (サンドポンプ),吹上工業・谷山_サンドポンプ,,,標本,,,9,
SP-0010,キハダトミガイ,Polinices aurantius,"(Röding, 1798)",近海産図鑑II版,エゾタマキビ,タマガイ,佐多岬 沖 (サンドポンプ),吹上工業・加治木_サンドポンプ,,,標本,,,10,
